Insider,Symbol,Total Amount,Share Price,Num. of Shares,Relation,Date,Num. of Insiders,Transaction
Volkema,MLKN,"$1,000,192.90",$16.61,"60,200",Director,2023-05-03,2,Purchase
Vlcek,GEN,"$4,737,000.00",$15.79,"300,000",Officer,2023-05-17,1,Purchase
Vlcek,NLOK,"$9,999,997.83",$21.91,"456,475",Officer,2022-09-15,2,Purchase
Vizirgianakis,XTNT,"$1,087,133.28",$0.48,"2,264,861",Director,2022-10-07,1,Purchase
Vivo,TERN,"$5,499,995.00",$7.25,"758,620",Large Shareholder,2022-12-23,4,Purchase
Vivo,TERN,"$2,160,000.00",$3.60,"600,000",Large Shareholder,2022-09-07,4,Purchase
Vivo,TERN,"$3,630,000.00",$2.42,"1,500,000",Large Shareholder,2022-08-16,4,Purchase
Vivo,TERN,"$3,346,602.58",$2.98,"1,123,021",Large Shareholder,2022-08-12,4,Purchase
Vivo,SRRA,"$21,600,000.00",$27.00,"800,000",Large Shareholder,2022-01-31,6,Purchase
Vitorovic,VIGL,"$23,396,072.00",$14.00,"1,671,148",Director,2022-01-11,6,Purchase
Virgin,GROV,"$50,000,000.00",$10.00,"5,000,000",Large Shareholder,2022-06-16,1,Purchase
Virgin,GROV,"$16,715,240.00",$10.00,"1,671,524",Large Shareholder,2022-06-16,1,Purchase
Villavarayan,AXTA,"$1,005,648.00",$29.20,"34,440","Officer, Director",2023-03-13,1,Purchase
Viking,FDMT,"$13,600,000.00",$16.00,"850,000",,2023-05-09,1,Purchase
Viking,FLAC,"$2,817,662.40",$10.08,"279,530",,2022-11-02,1,Purchase
Viking,FLAC,"$5,720,722.56",$10.08,"567,532",,2022-11-02,1,Purchase
Viking,INBX,"$9,999,956.67",$30.00,"333,333",,2022-10-07,1,Purchase
Viking,INBX,"$29,999,900.00",$30.00,"1,000,000",,2022-10-07,1,Purchase
Viking,AMLX,"$43,700,000.00",$19.00,"2,300,000",,2022-01-11,2,Purchase
Vieser,TCRT,"$812,500.00",$0.65,"1,250,000",Director,2022-11-29,1,Purchase
Vida,VIGL,"$23,396,072.00",$14.00,"1,671,148",Large Shareholder,2022-01-11,6,Purchase
Vestberg,VZ,"$998,450.00",$52.55,"19,000","Officer, Director",2022-01-26,1,Purchase
Verstandig,NEXI,"$544,915.08",$4.14,"131,622",Director,2022-03-25,1,Purchase
Verhalen,AMBA,"$1,014,855.73",$88.60,"11,455",Director,2022-03-07,1,Purchase
Vergnano,WAT,"$997,927.39",$313.32,"3,185",Director,2023-02-28,1,Purchase
Venrock,TCDA,"$788,625.00",$11.25,"70,100",Large Shareholder,2022-10-19,1,Purchase
Venrock,TCDA,"$2,483,656.14",$10.29,"241,366",Large Shareholder,2022-10-19,1,Purchase
Venrock,TCDA,"$1,987,307.64",$11.67,"170,292",Large Shareholder,2022-10-17,1,Purchase
Venrock,TCDA,"$954,933.46",$11.89,"80,314",Large Shareholder,2022-10-10,1,Purchase
Venrock,TCDA,"$2,634,811.00",$11.81,"223,100",Large Shareholder,2022-10-04,1,Purchase
Venrock,TCDA,"$3,028,654.72",$11.27,"268,736",Large Shareholder,2022-10-03,1,Purchase
Venrock,TCDA,"$1,668,415.04",$9.92,"168,187",Large Shareholder,2022-09-29,1,Purchase
Venrock,TCDA,"$759,872.00",$9.92,"76,600",Large Shareholder,2022-09-28,1,Purchase
Venrock,TCDA,"$1,078,700.00",$9.38,"115,000",Large Shareholder,2022-09-27,1,Purchase
Venrock,TCDA,"$3,386,455.84",$8.56,"395,614",Large Shareholder,2022-09-26,1,Purchase
Venrock,TCDA,"$5,397,432.60",$11.40,"473,459",Large Shareholder,2022-09-07,1,Purchase
Venrock,TCDA,"$1,717,048.89",$11.43,"150,223",Large Shareholder,2022-09-06,1,Purchase
Venrock,TCDA,"$804,262.80",$12.76,"63,030",Large Shareholder,2022-09-02,1,Purchase
Venrock,TCDA,"$610,000.00",$12.20,"50,000",Large Shareholder,2022-08-30,1,Purchase
Venrock,TCDA,"$902,000.00",$9.02,"100,000",Large Shareholder,2022-07-18,1,Purchase
Venrock,TCDA,"$537,505.00",$9.65,"55,700",Large Shareholder,2022-07-01,1,Purchase
Venrock,TCDA,"$1,443,481.60",$9.68,"149,120",Large Shareholder,2022-06-24,1,Purchase
Venrock,TCDA,"$2,100,000.00",$10.50,"200,000",Large Shareholder,2022-06-23,1,Purchase
Venrock,TCDA,"$1,557,610.00",$10.90,"142,900",Large Shareholder,2022-06-22,1,Purchase
Venrock,TCDA,"$517,261.14",$8.91,"58,054",Large Shareholder,2022-06-10,1,Purchase
Venrock,TCDA,"$978,627.00",$8.97,"109,100",Large Shareholder,2022-06-09,1,Purchase
Venrock,TCDA,"$1,056,665.61",$9.51,"111,111",Large Shareholder,2022-06-08,1,Purchase
Venrock,TCDA,"$3,637,670.57",$9.89,"367,813",Large Shareholder,2022-06-07,1,Purchase
Venrock,TCDA,"$855,581.10",$9.35,"91,506",Large Shareholder,2022-06-06,1,Purchase
Venrock,TCDA,"$541,919.16",$8.78,"61,722",Large Shareholder,2022-06-02,1,Purchase
Venkataraman,RVLP,"$12,400,000.00",$1.55,"8,000,000","Large Shareholder, Director",2022-08-08,4,Purchase
Van,JANL,"$1,355,040.00",$45.00,"30,112",Director,2022-08-10,3,Purchase
Valueact,NSIT,"$4,918,042.94",$128.62,"38,237","Director, Other",2023-02-16,2,Purchase
Valueact,NSIT,"$3,197,975.40",$127.45,"25,092","Director, Other",2023-02-15,2,Purchase
Valueact,NSIT,"$2,789,152.38",$126.63,"22,026","Director, Other",2023-02-14,2,Purchase
Valueact,NSIT,"$3,607,614.68",$90.92,"39,679","Large Shareholder, Director, Other",2022-08-31,2,Purchase
Valueact,NSIT,"$2,724,253.62",$91.93,"29,634","Large Shareholder, Director, Other",2022-08-30,2,Purchase
Valueact,NSIT,"$4,182,586.65",$92.73,"45,105","Large Shareholder, Director, Other",2022-08-29,2,Purchase
Valueact,NSIT,"$4,295,706.20",$93.67,"45,860","Large Shareholder, Director, Other",2022-08-26,2,Purchase
Valueact,NSIT,"$1,756,020.00",$94.92,"18,500","Large Shareholder, Director, Other",2022-08-25,2,Purchase
Valueact,NSIT,"$2,145,901.46",$93.13,"23,042","Large Shareholder, Director, Other",2022-08-24,2,Purchase
Valueact,NSIT,"$2,733,103.60",$94.18,"29,020","Large Shareholder, Director, Other",2022-08-23,2,Purchase
Valueact,NSIT,"$3,806,032.32",$94.48,"40,284","Large Shareholder, Director, Other",2022-08-22,2,Purchase
Valueact,NSIT,"$2,546,482.08",$93.98,"27,096","Large Shareholder, Director, Other",2022-08-17,2,Purchase
Valueact,NSIT,"$599,262.40",$94.82,"6,320","Large Shareholder, Director, Other",2022-08-16,2,Purchase
Valueact,NSIT,"$1,707,935.20",$93.92,"18,185","Large Shareholder, Director, Other",2022-08-15,2,Purchase
Valueact,FISV,"$18,694,437.93",$89.73,"208,341","Director, Other",2022-06-14,1,Purchase
Valueact,FISV,"$26,147,229.35",$89.65,"291,659","Director, Other",2022-06-13,1,Purchase
Valueact,FISV,"$47,090,000.00",$94.18,"500,000","Director, Other",2022-06-10,1,Purchase
Valueact,NSIT,"$3,962,800.00",$99.07,"40,000","Large Shareholder, Director, Other",2022-05-27,2,Purchase
Valueact,NSIT,"$3,927,200.00",$98.18,"40,000","Large Shareholder, Director, Other",2022-05-26,2,Purchase
Valueact,NSIT,"$3,795,600.00",$94.89,"40,000","Large Shareholder, Director, Other",2022-05-25,2,Purchase
Valueact,NSIT,"$7,560,000.00",$94.50,"80,000","Large Shareholder, Director, Other",2022-05-24,2,Purchase
Valueact,NSIT,"$3,892,800.00",$97.32,"40,000","Large Shareholder, Director, Other",2022-05-23,2,Purchase
Valueact,NSIT,"$3,880,400.00",$97.01,"40,000","Large Shareholder, Director, Other",2022-05-20,2,Purchase
Valueact,NSIT,"$3,941,200.00",$98.53,"40,000","Large Shareholder, Director, Other",2022-05-19,2,Purchase
Valueact,NSIT,"$1,886,789.36",$99.92,"18,883","Large Shareholder, Director, Other",2022-05-18,2,Purchase
Valueact,NSIT,"$1,719,828.00",$99.99,"17,200","Large Shareholder, Director, Other",2022-05-17,2,Purchase
Valueact,NSIT,"$3,980,400.00",$99.51,"40,000","Large Shareholder, Director, Other",2022-05-16,2,Purchase
Valueact,NSIT,"$3,969,200.00",$99.23,"40,000","Large Shareholder, Director, Other",2022-05-13,2,Purchase
Valueact,NSIT,"$3,852,400.00",$96.31,"40,000","Large Shareholder, Director, Other",2022-05-12,2,Purchase
Valueact,NSIT,"$3,911,600.00",$97.79,"40,000","Large Shareholder, Director, Other",2022-05-11,2,Purchase
Valueact,NSIT,"$3,972,000.00",$99.30,"40,000","Large Shareholder, Director, Other",2022-05-10,2,Purchase
Valueact,FISV,"$40,744,924.50",$94.11,"432,950","Director, Other",2022-05-09,1,Purchase
Valueact,FISV,"$6,367,068.00",$94.96,"67,050","Director, Other",2022-05-06,1,Purchase
Valueact,FISV,"$10,683,367.50",$94.90,"112,575","Director, Other",2022-05-02,1,Purchase
Valueact,NSIT,"$5,089,913.32",$103.66,"49,102","Large Shareholder, Director, Other",2022-02-28,2,Purchase
Valueact,NSIT,"$2,152,920.00",$102.52,"21,000","Large Shareholder, Director, Other",2022-02-25,2,Purchase
Valueact,NSIT,"$1,707,788.00",$99.29,"17,200","Large Shareholder, Director, Other",2022-02-24,2,Purchase
Valueact,NSIT,"$7,956,800.00",$99.46,"80,000","Director, Other",2022-02-22,2,Purchase
Valueact,NSIT,"$1,722,321.36",$99.81,"17,256","Director, Other",2022-02-18,2,Purchase
Valueact,NSIT,"$3,334,837.50",$98.81,"33,750","Director, Other",2022-02-17,2,Purchase
Value,LSAK,"$897,420.79",$4.49,"199,871",,2022-12-30,1,Purchase
Value,LSAK,"$950,274.50",$4.25,"223,594",,2022-12-28,1,Purchase
Value,LSAK,"$650,793.44",$3.94,"165,176",,2022-12-27,1,Purchase
Value,LSAK,"$3,930,000.00",$3.93,"1,000,000",,2022-11-17,1,Purchase
Value,LASK,"$1,743,233.25",$3.45,"505,285",,2022-09-30,1,Purchase
Value,LASK,"$638,658.44",$3.32,"192,367",,2022-09-29,1,Purchase
Valles,SPFI,"$870,000.00",$29.00,"30,000",Director,2022-11-03,1,Purchase
Valles,SPFI,"$664,250.00",$26.57,"25,000",Director,2022-08-29,1,Purchase
Ugwumba,CLNN,"$999,999.99",$1.01,"990,099",,2022-11-02,4,Purchase
Ubs,MMU,"$9,925,000.00","$25,000.00",397,Large Shareholder,2023-02-24,1,Purchase
Ubs,MMU,"$4,500,771.16","$25,004.28",180,Large Shareholder,2023-02-24,1,Purchase
Ubs,MMU,"$5,852,005.03","$25,008.57",234,Large Shareholder,2023-02-24,1,Purchase
Ubben,EVA,"$11,000,000.00",$55.00,"200,000",Director,2022-12-02,4,Purchase
Ubben,EVA,"$1,528,166.90",$53.25,"28,697",Director,2022-11-30,4,Purchase
Ubben,EVA,"$1,256,125.00",$50.25,"25,000",Director,2022-10-20,4,Purchase
Ubben,EVA,"$1,706,220.96",$51.06,"33,416",Director,2022-10-14,4,Purchase
Ubben,EVA,"$1,477,080.45",$50.13,"29,465",Director,2022-10-14,4,Purchase
Ubben,EVA,"$3,485,155.50",$51.75,"67,346",Director,2022-10-12,4,Purchase
Ubben,EVA,"$1,662,741.68",$50.92,"32,654",Director,2022-10-12,4,Purchase
Ubben,EVA,"$4,990,000.00",$49.90,"100,000",Director,2022-10-12,4,Purchase
Ubben,XOM,"$3,078,231.54",$86.86,"35,439",Director,2022-08-05,1,Purchase
Ubben,XOM,"$60,569,457.63",$88.77,"682,319",Director,2022-08-04,1,Purchase
Ubben,XOM,"$14,951,749.04",$88.36,"169,214",Director,2022-08-04,1,Purchase
Ubben,XOM,"$9,445,306.36",$87.08,"108,467",Director,2022-08-04,1,Purchase
Turtle,BFH,"$2,168,568.24",$29.89,"72,556",,2023-05-17,1,Purchase
Turtle,BFH,"$537,813.22",$29.08,"18,497",,2023-05-17,1,Purchase
Turtle,BFH,"$598,709.27",$27.81,"21,525",,2023-05-16,1,Purchase
Turtle,BFH,"$1,172,821.85",$28.19,"41,603",,2023-05-15,1,Purchase
Turtle,BFH,"$1,565,781.51",$27.70,"56,526",,2023-05-15,1,Purchase
Turtle,BFH,"$1,622,397.27",$26.53,"61,154",,2023-05-12,1,Purchase
Turtle,BFH,"$1,126,704.26",$26.17,"43,049",,2023-05-11,1,Purchase
Turtle,BFH,"$1,644,040.74",$26.05,"63,110",,2023-05-10,1,Purchase
Turtle,BFH,"$510,680.63",$26.39,"19,351",,2023-05-09,1,Purchase
Turtle,BFH,"$948,364.57",$25.90,"36,613",,2023-05-09,1,Purchase
Turtle,BFH,"$3,250,590.59",$25.17,"129,148",,2023-05-08,1,Purchase
Turtle,BFH,"$1,579,454.41",$24.82,"63,632",,2023-05-05,1,Purchase
Turtle,BFH,"$688,550.46",$23.72,"29,029",,2023-05-04,1,Purchase
Turtle,JELD,"$948,339.70",$12.32,"77,000",,2023-03-15,1,Purchase
Turtle,JELD,"$582,141.60",$10.78,"54,000",,2022-11-01,1,Purchase
Turtle,JELD,"$731,527.94",$9.50,"77,037",Large Shareholder,2022-10-06,1,Purchase
Turtle,JELD,"$746,153.34",$9.58,"77,863",Large Shareholder,2022-10-05,1,Purchase
Turtle,JELD,"$732,873.15",$12.70,"57,717",Large Shareholder,2022-08-19,1,Purchase
Turtle,JELD,"$1,461,483.04",$13.82,"105,723",Large Shareholder,2022-06-23,1,Purchase
Turtle,JELD,"$3,697,288.94",$13.11,"282,070",Large Shareholder,2022-06-22,1,Purchase
Turtle,JELD,"$570,718.02",$13.15,"43,395",Large Shareholder,2022-06-21,1,Purchase
Turtle,JELD,"$884,230.13",$20.45,"43,249",Large Shareholder,2022-04-11,1,Purchase
Turtle,JELD,"$2,379,538.65",$19.87,"119,768",Large Shareholder,2022-04-08,1,Purchase
Turtle,JELD,"$3,445,625.61",$18.97,"181,647",Large Shareholder,2022-04-07,1,Purchase
Turtle,JELD,"$3,741,140.86",$19.22,"194,622",Large Shareholder,2022-04-06,1,Purchase
Turtle,JELD,"$2,455,664.54",$20.08,"122,277",Large Shareholder,2022-04-05,1,Purchase
Turtle,JELD,"$1,761,209.43",$20.41,"86,286",Large Shareholder,2022-04-04,1,Purchase
Turtle,JELD,"$2,070,140.46",$20.48,"101,087",Large Shareholder,2022-04-01,1,Purchase
Turtle,JELD,"$2,694,394.09",$20.88,"129,019",Large Shareholder,2022-03-31,1,Purchase
Turtle,JELD,"$4,232,055.44",$21.96,"192,699",Large Shareholder,2022-03-30,1,Purchase
Turtle,JELD,"$1,692,541.98",$22.88,"73,977",Large Shareholder,2022-03-29,1,Purchase
Turtle,JELD,"$4,627,081.67",$21.89,"211,401",Large Shareholder,2022-03-25,1,Purchase
Turtle,JELD,"$603,853.56",$22.26,"27,129",Large Shareholder,2022-03-24,1,Purchase
Turtle,JELD,"$6,567,800.58",$22.26,"295,068",Large Shareholder,2022-03-24,1,Purchase
Turtle,JELD,"$3,155,911.31",$23.02,"137,111",Large Shareholder,2022-03-23,1,Purchase
Turtle,JELD,"$2,028,967.40",$23.51,"86,288",Large Shareholder,2022-03-22,1,Purchase
Turtle,JELD,"$2,020,286.83",$23.41,"86,288",Large Shareholder,2022-03-21,1,Purchase
Turtle,JELD,"$1,559,519.70",$24.10,"64,716",Large Shareholder,2022-03-18,1,Purchase
Turtle,JELD,"$927,432.91",$23.85,"38,882",Large Shareholder,2022-03-17,1,Purchase
Turtle,JELD,"$3,046,545.60",$23.52,"129,530",Large Shareholder,2022-03-16,1,Purchase
Turtle,JELD,"$3,060,662.06",$22.87,"133,848",Large Shareholder,2022-03-15,1,Purchase
Turtle,JELD,"$2,908,777.49",$22.46,"129,530",Large Shareholder,2022-03-14,1,Purchase
Turtle,JELD,"$2,981,145.90",$23.02,"129,530",Large Shareholder,2022-03-11,1,Purchase
Turtle,JELD,"$3,517,815.47",$23.28,"151,118",Large Shareholder,2022-03-10,1,Purchase
Turtle,JELD,"$3,055,287.02",$23.15,"131,971",Large Shareholder,2022-03-09,1,Purchase
Turtle,JELD,"$1,469,800.16",$22.24,"66,092",Large Shareholder,2022-03-08,1,Purchase
Turtle,JELD,"$1,332,437.94",$21.62,"61,639",Large Shareholder,2022-03-08,1,Purchase
Turtle,JELD,"$892,077.22",$20.95,"42,578",Large Shareholder,2022-03-07,1,Purchase
Turner,CRK,"$917,195.00",$18.34,"50,000",,2022-09-08,2,Purchase
Tull,FIGS,"$1,470,278.40",$21.90,"67,136",Large Shareholder,2022-04-01,2,Purchase
Tull,FIGS,"$2,422,163.52",$20.16,"120,147",Large Shareholder,2022-03-21,2,Purchase
Tull,FIGS,"$2,587,036.20",$19.38,"133,490",Large Shareholder,2022-03-21,2,Purchase
Tuchman,FTAI,"$1,000,000.00",$25.00,"40,000",Director,2023-03-15,1,Purchase
Troendle,MEDP,"$8,877,485.34",$154.59,"57,426","Large Shareholder, Officer, Director",2022-09-22,2,Purchase
Troendle,MEDP,"$15,212,453.97",$161.63,"94,119","Large Shareholder, Officer, Director",2022-09-21,2,Purchase
Troendle,MEDP,"$14,601,621.66",$155.14,"94,119","Large Shareholder, Officer, Director",2022-09-20,2,Purchase
Troendle,MEDP,"$14,445,384.12",$153.48,"94,119","Large Shareholder, Officer, Director",2022-09-19,2,Purchase
Troendle,MEDP,"$9,351,143.28",$149.58,"62,516","Large Shareholder, Officer, Director",2022-09-16,2,Purchase
Troendle,MEDP,"$9,571,824.76",$153.11,"62,516","Large Shareholder, Officer, Director",2022-09-15,2,Purchase
Troendle,MEDP,"$9,543,692.56",$152.66,"62,516","Large Shareholder, Officer, Director",2022-09-14,2,Purchase
Troendle,MEDP,"$9,822,513.92",$157.12,"62,516","Large Shareholder, Officer, Director",2022-09-13,2,Purchase
Troendle,MEDP,"$10,476,263.70",$167.58,"62,515","Large Shareholder, Officer, Director",2022-09-12,2,Purchase
Troendle,MEDP,"$9,294,011.81",$164.33,"56,557","Large Shareholder, Officer, Director",2022-09-09,2,Purchase
Troendle,MEDP,"$8,916,211.05",$157.65,"56,557","Large Shareholder, Officer, Director",2022-09-08,2,Purchase
Troendle,MEDP,"$8,524,271.04",$150.72,"56,557","Large Shareholder, Officer, Director",2022-09-07,2,Purchase
Troendle,MEDP,"$8,347,247.63",$147.59,"56,557","Large Shareholder, Officer, Director",2022-09-06,2,Purchase
Troendle,MEDP,"$7,062,555.72",$144.98,"48,714","Large Shareholder, Officer, Director",2022-09-02,2,Purchase
Troendle,MEDP,"$6,080,823.52",$144.52,"42,076","Large Shareholder, Officer, Director",2022-09-01,2,Purchase
Troendle,MEDP,"$1,207,850.00",$145.00,"8,330","Large Shareholder, Officer, Director",2022-07-18,2,Purchase
Troendle,MEDP,"$3,222,911.10",$144.59,"22,290","Large Shareholder, Officer, Director",2022-07-14,2,Purchase
Trian,IVZ,"$5,866,629.56",$23.46,"250,062",Large Shareholder,2022-04-04,3,Purchase
Trian,IVZ,"$34,112,699.36",$23.13,"1,474,538",Large Shareholder,2022-04-01,3,Purchase
Trian,IVZ,"$46,145,600.00",$23.07,"2,000,000",Large Shareholder,2022-03-31,3,Purchase
Trian,IVZ,"$35,036,550.00",$23.36,"1,500,000",Large Shareholder,2022-03-30,3,Purchase
Trian,IVZ,"$29,540,129.20",$23.20,"1,273,501",Large Shareholder,2022-03-29,3,Purchase
Trian,IVZ,"$16,754,227.00",$22.15,"756,419",Large Shareholder,2022-03-28,3,Purchase
Trian,IVZ,"$15,846,440.52",$22.01,"720,080",Large Shareholder,2022-03-25,3,Purchase
Trian,IVZ,"$14,856,175.78",$21.77,"682,437",Large Shareholder,2022-03-24,3,Purchase
Trian,IVZ,"$22,085,319.62",$21.52,"1,026,508",Large Shareholder,2022-03-23,3,Purchase
Treff,CROX,"$748,389.12",$77.96,"9,600",Director,2022-03-03,2,Purchase
Treff,CROX,"$740,662.38",$91.44,"8,100",Director,2022-02-17,2,Purchase
Treadway,COMM,"$500,427.89",$10.41,"48,076","Officer, Director",2022-08-26,1,Purchase
Treadway,COMM,"$501,541.87",$6.78,"73,965","Officer, Director",2022-03-11,1,Purchase
Treace,TMCI,"$524,123.60",$18.72,"28,000","Large Shareholder, Officer, Director",2022-08-23,1,Purchase
Tranen,PACK,"$784,500.00",$5.23,"150,000",Director,2022-07-29,2,Purchase
Trailblazer,TBMCU,"$3,945,000.00",$10.00,"394,500",Large Shareholder,2023-03-31,2,Purchase
Totalenergies,CWEN,"$2,242,349.75",$31.15,"71,980","Large Shareholder, Director",2023-03-31,2,Purchase
Toloue,QTRX,"$1,095,150.00",$10.43,"105,000",,2022-08-12,4,Purchase
Tolman,GBLI,"$1,115,469.67",$24.17,"46,151",Director,2022-12-14,1,Purchase
Tolman,GBLI,"$2,223,640.00",$24.17,"92,000",Director,2022-12-14,1,Purchase
Tisch,L,"$6,366,800.00",$57.88,"110,000",Officer,2023-06-02,1,Purchase
Tisch,L,"$6,215,000.00",$56.50,"110,000",Officer,2023-06-01,1,Purchase
Tisch,L,"$6,199,600.00",$56.36,"110,000",Officer,2023-05-31,1,Purchase
Tikvah,CMPO,"$679,832.91",$5.19,"130,989",Large Shareholder,2022-10-10,2,Purchase
Tikvah,CMPO,"$679,832.91",$5.19,"130,989",Large Shareholder,2022-10-10,2,Purchase
Tikvah,CMPO,"$796,232.21",$7.27,"109,523",Large Shareholder,2022-05-09,2,Purchase
Tikvah,CMPO,"$705,000.00",$7.05,"100,000",Large Shareholder,2022-04-06,2,Purchase
Tikvah,CMPO,"$705,000.00",$7.05,"100,000",Large Shareholder,2022-04-06,2,Purchase
Tikvah,CMPO,"$547,591.13",$7.13,"76,801",Large Shareholder,2022-02-16,2,Purchase
Tikvah,CMPO,"$547,591.13",$7.13,"76,801",Large Shareholder,2022-02-16,2,Purchase
Tikvah,CMPO,"$1,333,916.28",$8.28,"161,101",Large Shareholder,2022-02-11,2,Purchase
Tikvah,CMPO,"$1,333,916.28",$8.28,"161,101",Large Shareholder,2022-02-11,2,Purchase
Thrivent,CADEX,"$15,000,000.00",$25.00,"600,000",Large Shareholder,2023-06-01,1,Purchase
Thrivent,TAKAX,"$9,000,000.00",$25.00,"360,000",Large Shareholder,2022-11-09,3,Purchase
Thrivent,TAKAX,"$11,000,000.00",$25.00,"440,000",Large Shareholder,2022-09-01,3,Purchase
Thrivent,XCLIX,"$1,100,000.03",$9.40,"117,021",Large Shareholder,2022-08-17,1,Purchase
Thrivent,XCLIX,"$800,000.00",$9.41,"85,016",Large Shareholder,2022-05-23,1,Purchase
Thrivent,TAKAX,"$6,000,000.00",$25.00,"240,000",Large Shareholder,2022-05-11,3,Purchase
Thrivent,TAKAX,"$16,000,000.00",$25.00,"640,000",Large Shareholder,2022-05-11,3,Purchase
Thrivent,CADCX,"$9,000,000.00",$25.00,"360,000",Large Shareholder,2022-01-06,1,Purchase
Thrc,ACDC,"$2,494,383.20",$13.40,"186,148",Large Shareholder,2023-06-14,1,Purchase
Thrc,ACDC,"$1,326,396.51",$13.41,"98,911",Large Shareholder,2023-06-13,1,Purchase
Thrc,ACDC,"$818,209.29",$12.63,"64,783",Large Shareholder,2023-06-09,1,Purchase
Thrc,ACDC,"$5,390,133.48",$12.33,"437,156",Large Shareholder,2023-06-08,1,Purchase
Thrc,ACDC,"$717,378.80",$11.60,"61,843",Large Shareholder,2023-05-26,1,Purchase
Thrc,ACDC,"$6,106,975.68",$11.94,"511,472",Large Shareholder,2023-05-25,1,Purchase
Thrc,ACDC,"$2,712,096.24",$12.18,"222,668",Large Shareholder,2023-05-24,1,Purchase
Thrc,ACDC,"$4,567,712.16",$12.36,"369,556",Large Shareholder,2023-05-23,1,Purchase
Thrc,ACDC,"$921,393.78",$11.98,"76,911",Large Shareholder,2023-05-22,1,Purchase
Thrc,ACDC,"$2,443,404.85",$11.63,"210,095",Large Shareholder,2023-05-19,1,Purchase
Thrc,ACDC,"$3,722,253.90",$11.30,"329,403",Large Shareholder,2023-05-18,1,Purchase
Thrc,ACDC,"$4,976,988.25",$12.35,"402,995",Large Shareholder,2023-03-29,1,Purchase
Thrc,ACDC,"$6,035,000.00",$12.07,"500,000",Large Shareholder,2023-03-28,1,Purchase
Thorp,VIGL,"$3,710,000.00",$14.00,"265,000",Director,2022-01-11,6,Purchase
Thompson,EWTX,"$4,999,998.72",$10.32,"484,496","Large Shareholder, Director",2022-09-16,3,Purchase
Thompson,EWTX,"$994,980.00",$7.21,"138,000","Large Shareholder, Director",2022-05-18,3,Purchase
Thermopylae,ABCL,"$997,728.30",$6.52,"153,000",Large Shareholder,2023-05-26,2,Purchase
Thermopylae,ABCL,"$859,249.36",$10.10,"85,102",Large Shareholder,2022-12-16,2,Purchase
Thermopylae,ABCL,"$2,292,460.00",$11.46,"200,000",Large Shareholder,2022-08-19,2,Purchase
Thermopylae,ABCL,"$2,176,530.00",$7.26,"300,000",Large Shareholder,2022-05-13,2,Purchase
Thermopylae,ABCL,"$9,021,800.93",$6.41,"1,408,468",Large Shareholder,2022-05-12,2,Purchase
Tempesta,LAZR,"$500,252.78",$8.34,"59,950",Director,2022-09-06,2,Purchase
Technology,TETE,"$5,325,000.00",$10.00,"532,500",Large Shareholder,2022-01-20,2,Purchase
Tcac,SBIG,"$6,000,000.00",$10.00,"600,000",Large Shareholder,2022-06-14,1,Purchase
Taylor,RSVR,"$609,768.70",$6.60,"92,413","Director, Other",2022-06-29,3,Purchase
Taylor,RSVR,"$668,228.20",$7.19,"92,914","Director, Other",2022-03-08,3,Purchase
Taylor,RSVR,"$872,860.73",$6.74,"129,543","Director, Other",2022-02-11,3,Purchase
Tannenbaum,AFCG,"$831,200.00",$10.39,"80,000",Officer,2023-05-12,3,Purchase
